model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_brier,test_log_loss,calibrated_test_accuracy,calibrated_test_precision,calibrated_test_recall,calibrated_test_f1,calibrated_test_roc_auc,calibrated_test_brier,calibrated_test_log_loss,selected_calibration_method
gradient_boosting_classifier_tuned,0.7199964514903073,0.6790489357994975,0.6972811956277599,0.680916352504521,0.8137241749537807,0.1800103009803545,0.7241156169111302,0.8206012814194185,0.6453488372093024,0.7224994575829898,0.8200162881187224,0.1894974489832002,0.5621662904018477,0.7241156169111302,0.8206012814194185,0.6453488372093024,0.7224994575829898,0.8200162881187224,0.1894974489832002,0.5621662904018477,none
random_forest_classifier,0.7530477352213968,0.7104554220637246,0.7345008809400934,0.7170677817479131,0.8403083678248289,0.16302450162665996,0.6969370146678171,0.8116710875331565,0.5930232558139535,0.6853303471444568,0.7651790561940096,0.21430755436097934,0.6293944216792204,0.7251941328731665,0.8967193195625759,0.5720930232558139,0.6985328916232845,0.8086220515488795,0.2048159363410067,0.5987683328186842,isotonic
random_forest_classifier_tuned,0.7675630607384172,0.7260292023508231,0.7470708284876042,0.7324797425025,0.8557883358792393,0.15485981735189092,0.7262726488352028,0.8305597579425114,0.6383720930232558,0.7218934911242604,0.8025139127680754,0.1927116880509223,0.5644126672000299,0.7262726488352028,0.8305597579425114,0.6383720930232558,0.7218934911242604,0.8025139127680754,0.1927116880509223,0.5644126672000299,none
logistic_regression_tuned,0.7640825296502847,0.7116325303160832,0.7753918252661114,0.7363241277364894,0.8665736078243085,0.16074041581314777,0.6984469370146679,0.85431654676259,0.5523255813953488,0.6709039548022598,0.7873195864627636,0.23715136553041608,0.825557358070488,0.7070750647109577,0.8799751243781094,0.5484496124031008,0.6757402101241643,0.8005812068289446,0.21383732189719434,0.6471165338480468,sigmoid
gradient_boosting_classifier,0.6985279979056785,0.6509994403604707,0.6781779853463547,0.6608781628377873,0.7861400059348426,0.2169054414998386,0.730802415875755,0.8836405529953917,0.5945736434108527,0.7108433734939759,0.7872869725213405,0.2095527866893938,0.6559514481580344,0.730802415875755,0.8836405529953917,0.5945736434108527,0.7108433734939759,0.7872869725213405,0.2095527866893938,0.6559514481580344,none
extra_trees_classifier,0.7355027780830781,0.6974542832065682,0.7020753991340161,0.6917485898583964,0.8258408882376639,0.17364246751741466,0.6527178602243313,0.8101023017902813,0.4910852713178295,0.6114864864864865,0.7538527810454558,0.21837130937047233,0.629137629688361,0.6527178602243313,0.8101023017902813,0.4910852713178295,0.6114864864864865,0.7538527810454558,0.21837130937047233,0.629137629688361,none
extra_trees_classifier_tuned,0.7414880032220548,0.6990101531878058,0.7230099772437001,0.7025444892413897,0.8279564855191196,0.17338828280261032,0.6598360655737705,0.8279921517331589,0.4906976744186046,0.616208323192991,0.7522669517087444,0.2170722806356988,0.6257964900150198,0.6598360655737705,0.8279921517331589,0.4906976744186046,0.616208323192991,0.7522669517087444,0.2170722806356988,0.6257964900150198,none
logistic_regression,0.7109197923364736,0.6497566312980927,0.741681330666729,0.6855857690079585,0.8133296364959207,0.23063640808432487,0.6553062985332183,0.8959677419354839,0.43062015503875967,0.5816753926701571,0.715474843905529,0.3096617012018474,2.2321040086486716,0.6695427092320967,0.9106583072100314,0.4503875968992248,0.6026970954356846,0.7266240988749133,0.2511482520901392,0.737370649439461,sigmoid
xgboost_classifier_tuned,0.6986112255363005,0.652753937921259,0.6825289043721643,0.6641783632449312,0.7806454401419073,0.23808013647794724,0.6790336496980155,0.7757575757575758,0.5953488372093023,0.6736842105263158,0.7209513467861128,0.25496697425842285,0.8672975928615353,0.6790336496980155,0.7757575757575758,0.5953488372093023,0.6736842105263158,0.7209513467861128,0.25496697425842285,0.8672975928615353,none
xgboost_classifier,0.6834876274107365,0.6318799719972042,0.6703003775716223,0.6476709102189034,0.7689702522755981,0.25473368912935257,0.6443054357204486,0.7695425593514765,0.5151162790697674,0.6171348966798236,0.6891250414743764,0.28934246301651,1.1292780327122467,0.6443054357204486,0.7695425593514765,0.5151162790697674,0.6171348966798236,0.6891250414743764,0.28934246301651,1.1292780327122467,none
