model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_brier,test_log_loss,calibrated_test_accuracy,calibrated_test_precision,calibrated_test_recall,calibrated_test_f1,calibrated_test_roc_auc,calibrated_test_brier,calibrated_test_log_loss,selected_calibration_method
gradient_boosting_classifier_tuned,0.7447828317480019,0.7195030952452532,0.701283314742785,0.7064639615461373,0.8149008850002869,0.17079406414145276,0.7241156169111302,0.8206012814194185,0.6453488372093024,0.7224994575829898,0.8200162881187224,0.1894974489832002,0.5621662904018477,0.7241156169111302,0.8206012814194185,0.6453488372093024,0.7224994575829898,0.8200162881187224,0.1894974489832002,0.5621662904018477,none
random_forest_classifier,0.7707578180587882,0.7412692568878225,0.7433708631870604,0.7399687682387317,0.8278139844015708,0.16353473049897396,0.6969370146678171,0.8116710875331565,0.5930232558139535,0.6853303471444568,0.7651790561940096,0.21430755436097934,0.6293944216792204,0.7251941328731665,0.8967193195625759,0.5720930232558139,0.6985328916232845,0.8086220515488795,0.2048159363410067,0.5987683328186844,isotonic
logistic_regression_tuned,0.7342551508364861,0.6863642535561582,0.7321000608174888,0.7069889221344607,0.8241234039550575,0.19274591889940307,0.6984469370146679,0.8534688995215312,0.5531007751937984,0.6712135465663217,0.7871178701776611,0.23668967396720342,0.8230795543644217,0.7070750647109577,0.8809226932668329,0.5476744186046512,0.6754302103250478,0.8006419102343678,0.21432098428033644,0.6485562470496986,sigmoid
random_forest_classifier_tuned,0.7760058311133423,0.7476243759458236,0.7516665797473773,0.747247171822107,0.8463599648463822,0.15622752797521122,0.7180759275237274,0.8344718864950079,0.6155038759689923,0.7084541601606067,0.7890471827587247,0.19725656533764832,0.5758682154754396,0.7180759275237274,0.8344718864950079,0.6155038759689923,0.7084541601606067,0.7890471827587247,0.19725656533764832,0.5758682154754396,none
gradient_boosting_classifier,0.7217090555795977,0.6796855333103722,0.7049739564247669,0.6894602849848799,0.7769975418166752,0.21550142389045962,0.730802415875755,0.8836405529953917,0.5945736434108527,0.7108433734939759,0.7872869725213405,0.2095527866893938,0.6559514481580344,0.730802415875755,0.8836405529953917,0.5945736434108527,0.7108433734939759,0.7872869725213405,0.2095527866893938,0.6559514481580344,none
xgboost_classifier_tuned,0.7301408146767399,0.6972585379026925,0.7012602132871588,0.697055248147362,0.7939778448864927,0.19577674116147492,0.7036238136324418,0.8248922413793104,0.5934108527131783,0.6902614968440036,0.7692229964105812,0.21876692628076452,0.6639266060921151,0.7036238136324418,0.8248922413793104,0.5934108527131783,0.6902614968440036,0.7692229964105812,0.21876692628076452,0.6639266060921151,none
extra_trees_classifier,0.7392958998522615,0.6993955879946578,0.7073245228313781,0.6988810914607202,0.8210273673307235,0.17096311721553414,0.6527178602243313,0.8101023017902813,0.4910852713178295,0.6114864864864865,0.7538527810454558,0.21837130937047233,0.629137629688361,0.6527178602243313,0.8101023017902813,0.4910852713178295,0.6114864864864865,0.7538527810454558,0.21837130937047233,0.629137629688361,none
extra_trees_classifier_tuned,0.7439432573006384,0.7002454006534825,0.7252024092738188,0.7084071586905206,0.8216381466109772,0.1701151509113478,0.6598360655737705,0.8279921517331589,0.4906976744186046,0.616208323192991,0.7522669517087444,0.2170722806356988,0.6257964900150198,0.6598360655737705,0.8279921517331589,0.4906976744186046,0.616208323192991,0.7522669517087444,0.2170722806356988,0.6257964900150198,none
xgboost_classifier,0.6942898963903876,0.6527009851206775,0.6596144169683653,0.654475796425458,0.7506155553373419,0.26294955273512804,0.6453839516824849,0.7947103274559194,0.48914728682170544,0.6055662188099808,0.6927278451422194,0.2839357082272892,1.1032357154186416,0.6553062985332183,0.7774011299435029,0.5333333333333333,0.6326436781609195,0.7482373390040118,0.22175175714986203,0.6362651165701374,sigmoid
logistic_regression,0.6926741908790007,0.6371361894487203,0.6956097566018343,0.6627426969282791,0.7518717611221019,0.2628326695726446,0.6553062985332183,0.8959677419354839,0.43062015503875967,0.5816753926701571,0.715474843905529,0.3096617012018474,2.2321040086486716,0.6695427092320967,0.9106583072100314,0.4503875968992248,0.6026970954356846,0.7266240988749133,0.2511482520901392,0.737370649439461,sigmoid
