model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_brier,test_log_loss,calibrated_test_accuracy,calibrated_test_precision,calibrated_test_recall,calibrated_test_f1,calibrated_test_roc_auc,calibrated_test_brier,calibrated_test_log_loss,selected_calibration_method
gradient_boosting_classifier_tuned,0.7199964514903073,0.6790489357994975,0.6972811956277599,0.680916352504521,0.8137241749537807,0.1800103009803545,0.7241156169111302,0.8206012814194185,0.6453488372093024,0.7224994575829898,0.8200162881187224,0.1894974489832002,0.5621662904018477,0.7241156169111302,0.8206012814194185,0.6453488372093024,0.7224994575829898,0.8200162881187224,0.1894974489832002,0.5621662904018477,none
random_forest_classifier,0.7530477352213968,0.7104554220637246,0.7345008809400934,0.7170677817479131,0.8403083678248289,0.16302450162665996,0.6969370146678171,0.8116710875331565,0.5930232558139535,0.6853303471444568,0.7651790561940096,0.21430755436097934,0.6293944216792204,0.7251941328731665,0.8967193195625759,0.5720930232558139,0.6985328916232845,0.8086220515488795,0.20481593634100673,0.5987683328186844,isotonic
random_forest_classifier_tuned,0.7675630607384172,0.7260292023508231,0.7470708284876042,0.7324797425025,0.8557883358792393,0.15485981735189092,0.7262726488352028,0.8305597579425114,0.6383720930232558,0.7218934911242604,0.8025139127680754,0.1927116880509223,0.5644126672000299,0.7262726488352028,0.8305597579425114,0.6383720930232558,0.7218934911242604,0.8025139127680754,0.1927116880509223,0.5644126672000299,none
logistic_regression_tuned,0.7640825296502847,0.7116325303160832,0.7753918252661114,0.7363241277364894,0.8665736078243085,0.16074041581314807,0.6984469370146679,0.85431654676259,0.5523255813953488,0.6709039548022598,0.7873195864627636,0.23715136553041263,0.8255573580704882,0.7070750647109577,0.8799751243781094,0.5484496124031008,0.6757402101241643,0.8005812068289446,0.21383732171343273,0.6471165331104578,sigmoid
gradient_boosting_classifier,0.6985279979056785,0.6509994403604707,0.6781779853463547,0.6608781628377873,0.7861230299539994,0.21691355566041465,0.730802415875755,0.8836405529953917,0.5945736434108527,0.7108433734939759,0.7867018067746508,0.20983226747854236,0.6571463067965995,0.730802415875755,0.8836405529953917,0.5945736434108527,0.7108433734939759,0.7867018067746508,0.20983226747854236,0.6571463067965995,none
xgboost_classifier_tuned,0.7148395488452453,0.6683066651605712,0.7007283488418465,0.6803081886079827,0.7871377948265303,0.20812243582465395,0.7049180327868853,0.8254564983888292,0.5957364341085272,0.6920306168392616,0.7678900665098182,0.22034710968294505,0.6704032281779245,0.6921915444348576,0.815199562602515,0.577906976744186,0.6763438421410751,0.7630812068289445,0.21854618625936156,0.6283452104671401,sigmoid
extra_trees_classifier,0.7355027780830781,0.6974542832065682,0.7020753991340161,0.6917485898583964,0.8258408882376639,0.17364246751741466,0.6527178602243313,0.8101023017902813,0.4910852713178295,0.6114864864864865,0.7538527810454558,0.21837130937047233,0.629137629688361,0.6527178602243313,0.8101023017902813,0.4910852713178295,0.6114864864864865,0.7538527810454558,0.21837130937047233,0.629137629688361,none
extra_trees_classifier_tuned,0.7414880032220548,0.6990101531878058,0.7230099772437001,0.7025444892413897,0.8279564855191196,0.17338828280261032,0.6598360655737705,0.8279921517331589,0.4906976744186046,0.616208323192991,0.7522669517087444,0.2170722806356988,0.6257964900150198,0.6598360655737705,0.8279921517331589,0.4906976744186046,0.616208323192991,0.7522669517087444,0.2170722806356988,0.6257964900150198,none
xgboost_classifier,0.6918004437794992,0.6405600855648222,0.6820275159255303,0.6592241994535258,0.7712093667328042,0.25373078885163447,0.6270491803278688,0.7608828939301042,0.4810077519379845,0.5894086915222038,0.6948528413718216,0.2896140255626937,1.0874261854741505,0.658541846419327,0.7658666666666667,0.5565891472868217,0.644668911335578,0.745100556510723,0.22195656665147545,0.6371531845188323,sigmoid
logistic_regression,0.7109197923364736,0.6497566312980927,0.741681330666729,0.6855857690079585,0.8133296364959207,0.2306364080839236,0.6553062985332183,0.8959677419354839,0.43062015503875967,0.5816753926701571,0.715474843905529,0.30966170120107567,2.232104008633904,0.6695427092320967,0.9106583072100314,0.4503875968992248,0.6026970954356846,0.7266240988749133,0.2511482520951083,0.7373706494510779,sigmoid
